epoch,loss,eval_loss,learning_rate,grad_norm
0.8922,,1.286,,
0.9084,1.268,,8.395e-06,11.88
0.9246,1.278,,8.27e-06,15.5
0.9408,1.304,,8.146e-06,8.688
0.9571,1.29,,8.021e-06,8
0.9733,1.302,,7.896e-06,14.44
0.9733,,1.274,,
0.9895,1.297,,7.772e-06,9.125
1.006,1.224,,7.647e-06,7.125
1.022,1.15,,7.522e-06,7.25
1.038,1.154,,7.398e-06,8.75
1.054,1.146,,7.273e-06,9.062
1.054,,1.272,,
1.07,1.145,,7.148e-06,8.312
1.087,1.154,,7.024e-06,8.5
1.103,1.183,,6.899e-06,8.875
1.119,1.177,,6.774e-06,8.312
1.135,1.171,,6.65e-06,9.562
1.135,,1.264,,
1.152,1.155,,6.525e-06,9
1.168,1.159,,6.4e-06,12
1.184,1.127,,6.276e-06,8.688
1.2,1.139,,6.151e-06,7.688
1.216,1.138,,6.026e-06,7.25
1.216,,1.262,,
1.233,1.146,,5.902e-06,9.312
1.249,1.13,,5.777e-06,8.375
1.265,1.158,,5.652e-06,8.875
1.281,1.126,,5.528e-06,10.38
1.297,1.152,,5.403e-06,9.438
1.297,,1.257,,
1.314,1.157,,5.278e-06,8.688
1.33,1.161,,5.154e-06,8.812
1.346,1.143,,5.029e-06,7.469
1.362,1.139,,4.904e-06,9.062
1.379,1.159,,4.78e-06,8.75
1.379,,1.254,,
1.395,1.152,,4.655e-06,7.688
1.411,1.106,,4.53e-06,7.688
1.427,1.145,,4.406e-06,9.5
1.443,1.168,,4.281e-06,8.562
1.46,1.151,,4.156e-06,8.312
1.46,,1.252,,
1.476,1.137,,4.032e-06,9.062
1.492,1.132,,3.907e-06,8.625
1.508,1.102,,3.782e-06,8.062
1.525,1.165,,3.658e-06,9.938
1.541,1.135,,3.533e-06,7.375
1.541,,1.25,,
1.557,1.151,,3.408e-06,8.625
1.573,1.111,,3.284e-06,7.969
1.589,1.163,,3.159e-06,7.594
1.606,1.137,,3.034e-06,8.5
1.622,1.155,,2.91e-06,8.375
1.622,,1.249,,
1.638,1.134,,2.785e-06,8.188
1.654,1.108,,2.66e-06,9.5
1.671,1.127,,2.536e-06,11.44
1.687,1.136,,2.411e-06,7.938
1.703,1.133,,2.286e-06,11.25
1.703,,1.249,,
1.719,1.12,,2.162e-06,9.688
1.735,1.16,,2.037e-06,11.31
1.752,1.142,,1.912e-06,9.438
1.768,1.146,,1.788e-06,9.312
1.784,1.115,,1.663e-06,7.438
1.784,,1.248,,
1.8,1.121,,1.538e-06,9.5
1.817,1.131,,1.414e-06,8.312
1.833,1.147,,1.289e-06,9.562
1.849,1.127,,1.164e-06,9.5
1.865,1.134,,1.04e-06,8.625
1.865,,1.248,,
1.881,1.156,,9.151e-07,10.25
1.898,1.129,,7.904e-07,9.438
1.914,1.138,,6.657e-07,8.688
1.93,1.126,,5.411e-07,10.38
1.946,1.141,,4.164e-07,8.688
1.946,,1.248,,
1.963,1.132,,2.917e-07,8.25
1.979,1.14,,1.671e-07,13.69
1.995,1.12,,4.239e-08,8.812
2,,1.248,,
