epoch,loss,eval_loss,learning_rate,grad_norm
0.01622,5.308,,4.9e-06,29.5
0.03244,3.141,,9.9e-06,16.5
0.04866,2.798,,1.49e-05,9.625
0.06489,2.365,,1.488e-05,14.81
0.08111,1.73,,1.475e-05,10.69
0.08111,,1.652,,
0.09733,1.602,,1.463e-05,14.31
0.1135,1.576,,1.45e-05,10.12
0.1298,1.563,,1.438e-05,9.938
0.146,1.553,,1.425e-05,10.25
0.1622,1.578,,1.413e-05,8.938
0.1622,,1.531,,
0.1784,1.54,,1.401e-05,10.06
0.1947,1.517,,1.388e-05,9.062
0.2109,1.499,,1.376e-05,9.188
0.2271,1.488,,1.363e-05,12.25
0.2433,1.465,,1.351e-05,9.188
0.2433,,1.477,,
0.2595,1.454,,1.338e-05,7.156
0.2758,1.468,,1.326e-05,10.38
0.292,1.475,,1.313e-05,8.688
0.3082,1.47,,1.301e-05,9.375
0.3244,1.467,,1.288e-05,11.44
0.3244,,1.435,,
0.3406,1.462,,1.276e-05,8.375
0.3569,1.45,,1.263e-05,8.5
0.3731,1.439,,1.251e-05,7.719
0.3893,1.404,,1.238e-05,9.625
0.4055,1.421,,1.226e-05,8.188
0.4055,,1.401,,
0.4218,1.397,,1.214e-05,9.938
0.438,1.415,,1.201e-05,7.594
0.4542,1.395,,1.189e-05,7.438
0.4704,1.377,,1.176e-05,10.31
0.4866,1.376,,1.164e-05,7.531
0.4866,,1.375,,
0.5029,1.373,,1.151e-05,9.438
0.5191,1.365,,1.139e-05,8.625
0.5353,1.347,,1.126e-05,8.438
0.5515,1.373,,1.114e-05,8.375
0.5677,1.357,,1.101e-05,7.75
0.5677,,1.35,,
0.584,1.329,,1.089e-05,6.281
0.6002,1.37,,1.076e-05,10.5
0.6164,1.35,,1.064e-05,7.188
0.6326,1.345,,1.051e-05,8.25
0.6489,1.346,,1.039e-05,9.625
0.6489,,1.331,,
0.6651,1.327,,1.027e-05,8.562
0.6813,1.314,,1.014e-05,8.188
0.6975,1.317,,1.002e-05,18.12
0.7137,1.336,,9.891e-06,7.938
0.73,1.333,,9.766e-06,8.625
0.73,,1.314,,
0.7462,1.327,,9.642e-06,11.62
0.7624,1.309,,9.517e-06,6.875
0.7786,1.336,,9.392e-06,6.969
0.7948,1.31,,9.268e-06,7.781
0.8111,1.287,,9.143e-06,8.5
0.8111,,1.3,,
0.8273,1.318,,9.018e-06,7.938
0.8435,1.317,,8.894e-06,10.25
0.8597,1.282,,8.769e-06,7.281
0.8759,1.281,,8.644e-06,8.062
0.8922,1.294,,8.52e-06,9.562
