epoch,loss,eval_loss,learning_rate,grad_norm
0.7441,2.021,,9.574e-06,11.44
0.7441,,2,,
0.7441,2.02,,9.574e-06,11.38
0.7441,,1.999,,
0.7547,1.984,,9.493e-06,8.75
0.7547,1.981,,9.493e-06,9.25
0.7653,2.012,,9.412e-06,11.19
0.7653,2.011,,9.412e-06,11.31
0.776,1.998,,9.331e-06,8.375
0.776,1.998,,9.331e-06,8.625
0.7866,1.977,,9.25e-06,9.625
0.7866,1.977,,9.25e-06,9.062
0.7972,1.999,,9.169e-06,7.906
0.7972,,1.997,,
0.7972,1.999,,9.169e-06,8.188
0.7972,,1.997,,
0.8078,1.997,,9.088e-06,7.281
0.8078,1.997,,9.088e-06,7.094
0.8185,1.97,,9.007e-06,8.125
0.8185,1.969,,9.007e-06,8.125
0.8291,1.982,,8.926e-06,10.12
0.8291,1.982,,8.926e-06,9.188
0.8397,2.017,,8.845e-06,9.062
0.8397,2.017,,8.845e-06,8.812
0.8504,1.997,,8.764e-06,7.531
0.8504,,1.995,,
0.8504,1.996,,8.764e-06,7.531
0.8504,,1.994,,
0.861,1.995,,8.683e-06,8.562
0.861,1.994,,8.683e-06,8.5
0.8716,2.004,,8.602e-06,9.438
0.8716,2.004,,8.602e-06,9.438
0.8823,1.954,,8.521e-06,8.312
0.8823,1.953,,8.521e-06,8.375
0.8929,1.989,,8.44e-06,7.875
0.8929,1.989,,8.44e-06,7.969
0.9035,2.016,,8.359e-06,8.812
0.9035,,1.993,,
0.9035,2.016,,8.359e-06,8.938
0.9035,,1.992,,
0.9141,2.004,,8.278e-06,10.12
0.9141,2.003,,8.278e-06,10.44
0.9248,1.985,,8.197e-06,9
0.9248,1.986,,8.197e-06,8.75
0.9354,1.978,,8.116e-06,9.125
0.9354,1.977,,8.116e-06,8.938
0.946,1.987,,8.035e-06,9.938
0.946,1.986,,8.035e-06,10
0.9567,2.003,,7.954e-06,10.12
0.9567,,1.992,,
0.9567,2.002,,7.954e-06,10.06
0.9567,,1.991,,
0.9673,1.98,,7.873e-06,9.188
0.9673,1.98,,7.873e-06,9.312
0.9779,1.982,,7.792e-06,8.438
0.9779,1.98,,7.792e-06,8.438
0.9885,1.976,,7.711e-06,10.25
0.9885,1.976,,7.711e-06,10.81
0.9992,2.03,,7.63e-06,9.375
0.9992,2.028,,7.63e-06,9.312
1.01,1.862,,7.549e-06,8.562
1.01,,1.993,,
1.01,1.862,,7.549e-06,8.312
1.01,,1.992,,
1.02,1.848,,7.468e-06,7.844
1.02,1.847,,4.9e-06,7.781
1.02,1.847,,4.9e-06,7.812
1.02,1.847,,4.9e-06,7.75
1.02,1.847,,7.468e-06,7.75
1.02,1.847,,4.9e-06,7.781
1.031,1.872,,7.387e-06,8.688
1.031,1.873,,9.9e-06,9.25
1.031,1.873,,9.9e-06,9.25
1.031,1.873,,9.9e-06,9.312
1.031,1.872,,7.387e-06,9
1.031,1.873,,9.9e-06,9.188
1.042,1.867,,7.306e-06,9.125
1.042,1.873,,1.49e-05,9.75
1.042,1.873,,1.49e-05,10
1.042,1.873,,1.49e-05,10.06
1.042,1.868,,7.306e-06,9.062
1.042,1.874,,1.49e-05,10.25
1.052,1.849,,7.225e-06,7.719
1.052,1.861,,1.492e-05,8.312
1.052,1.861,,1.492e-05,8.312
1.052,1.861,,1.492e-05,8.375
1.052,1.85,,7.225e-06,7.844
1.052,1.862,,1.492e-05,8.375
1.063,1.868,,7.144e-06,9.125
1.063,,1.993,,
1.063,1.883,,1.484e-05,9.812
1.063,,2.007,,
1.063,1.883,,1.484e-05,10.19
1.063,,2.007,,
1.063,1.883,,1.484e-05,10.25
1.063,,2.007,,
1.063,1.867,,7.144e-06,9
1.063,,1.993,,
1.063,1.882,,1.484e-05,9.438
1.063,,2.007,,
1.074,1.889,,1.476e-05,9.125
1.074,1.887,,4.9e-06,8.812
1.074,1.887,,4.9e-06,8.812
1.074,1.888,,1.476e-05,9.125
1.084,1.889,,1.468e-05,8.812
1.084,1.881,,9.9e-06,8.938
1.084,1.88,,9.9e-06,8.875
1.084,1.889,,1.468e-05,9.062
1.095,1.896,,1.46e-05,15.88
1.095,1.889,,1.49e-05,9.5
1.095,1.889,,1.49e-05,9.625
1.095,1.896,,1.46e-05,12.25
1.105,1.88,,1.452e-05,9.5
1.105,1.877,,1.492e-05,10.38
1.105,1.877,,1.492e-05,9.938
1.105,1.88,,1.452e-05,8.562
1.116,1.853,,1.443e-05,11.12
1.116,,2.008,,
1.116,1.851,,1.484e-05,8.188
1.116,,2.008,,
1.116,1.851,,1.484e-05,8.125
1.116,,2.007,,
1.116,1.853,,1.443e-05,9.625
1.116,,2.007,,
1.127,1.89,,1.476e-05,10.19
1.127,1.891,,1.435e-05,9.625
1.137,1.886,,1.468e-05,8.688
1.137,1.886,,1.427e-05,8.5
1.148,1.865,,1.46e-05,8.625
1.148,1.866,,1.419e-05,8.5
1.159,1.903,,1.452e-05,9.75
1.159,1.902,,1.411e-05,10.19
1.169,1.879,,1.443e-05,8.688
1.169,,2.003,,
1.169,1.878,,1.403e-05,9.125
1.169,,2.001,,
1.18,1.884,,1.395e-05,8.062
1.19,1.888,,1.387e-05,10.88
1.201,1.891,,1.379e-05,9.062
1.212,1.891,,1.371e-05,12.19
1.222,1.876,,1.362e-05,8.375
1.222,,1.998,,
1.233,1.866,,1.354e-05,7.406
1.244,1.869,,1.346e-05,9.938
1.254,1.898,,1.338e-05,8.688
1.265,1.879,,1.33e-05,8.438
1.276,1.867,,1.322e-05,8.375
1.276,,1.996,,
1.286,1.88,,1.314e-05,8.25
1.297,1.893,,1.306e-05,8.812
1.307,1.881,,1.298e-05,7.906
1.318,1.878,,1.29e-05,9.875
1.329,1.854,,1.281e-05,9.875
1.329,,1.99,,
1.339,1.878,,1.273e-05,7.719
1.35,1.887,,1.265e-05,7.781
1.361,1.875,,1.257e-05,8.562
1.371,1.887,,1.249e-05,8.875
1.382,1.896,,1.241e-05,8.938
1.382,,1.987,,
1.392,1.874,,1.233e-05,9.25
1.403,1.868,,1.225e-05,9.312
1.414,1.883,,1.217e-05,9.625
1.424,1.88,,1.209e-05,8.438
1.435,1.894,,1.2e-05,8.188
1.435,,1.982,,
1.446,1.892,,1.192e-05,8.125
1.456,1.873,,1.184e-05,9.688
1.467,1.87,,1.176e-05,7.938
1.477,1.884,,1.168e-05,8.625
1.488,1.883,,1.16e-05,8.438
1.488,,1.98,,
1.499,1.896,,1.152e-05,8.125
1.509,1.87,,1.144e-05,7.906
1.52,1.904,,1.136e-05,9.125
1.531,1.856,,1.128e-05,8.938
1.541,1.866,,1.119e-05,7.188
1.541,,1.979,,
1.552,1.903,,1.111e-05,7.125
1.563,1.878,,1.103e-05,9.438
1.573,1.898,,1.095e-05,8.5
1.584,1.866,,1.087e-05,9.125
1.594,1.865,,1.079e-05,8.375
1.594,,1.974,,
1.605,1.881,,1.071e-05,9.438
1.616,1.882,,1.063e-05,9
1.626,1.893,,1.055e-05,7.031
1.637,1.877,,1.047e-05,8.688
1.648,1.88,,1.038e-05,8.938
1.648,,1.972,,
1.658,1.866,,1.03e-05,7.219
1.669,1.855,,1.022e-05,9.75
1.679,1.861,,1.014e-05,8.188
1.69,1.893,,1.006e-05,8.875
1.701,1.866,,9.979e-06,7.625
1.701,,1.97,,
1.711,1.874,,9.898e-06,9.25
1.722,1.884,,9.817e-06,8.938
