epoch,loss,eval_loss,learning_rate,grad_norm
1.01,1.874,,7.546e-06,8.875
1.021,1.863,,7.464e-06,7.719
1.021,,2.004,,
1.032,1.888,,7.382e-06,8.312
1.043,1.886,,7.3e-06,7.938
1.053,1.9,,7.218e-06,8.688
1.064,1.89,,7.136e-06,8.5
1.075,1.895,,7.054e-06,8.375
1.075,,2.004,,
1.086,1.876,,6.972e-06,8.5
1.096,1.876,,6.89e-06,9.125
1.107,1.891,,6.808e-06,8.625
1.118,1.895,,6.727e-06,8.375
1.129,1.873,,6.645e-06,9
1.129,,2.005,,
1.139,1.887,,6.563e-06,8.812
1.15,1.895,,6.481e-06,9.062
1.161,1.872,,6.399e-06,7.312
1.172,1.865,,6.317e-06,7.375
1.182,1.86,,6.235e-06,8.688
1.182,,2.003,,
1.193,1.861,,6.153e-06,9
1.204,1.874,,6.071e-06,9.438
1.215,1.894,,5.989e-06,9.438
1.225,1.879,,5.907e-06,7.656
1.236,1.886,,5.825e-06,7.844
1.236,,2.002,,
1.247,1.895,,5.743e-06,9.062
1.247,1.895,,4.9e-06,9.062
1.258,1.876,,5.661e-06,9.375
1.258,1.876,,9.9e-06,9.312
1.268,1.872,,5.58e-06,23.62
1.268,1.878,,1.49e-05,27.5
1.279,1.878,,1.492e-05,8.188
1.29,1.914,,1.484e-05,7.344
1.29,,2.022,,
1.301,1.911,,1.476e-05,8.375
1.311,1.896,,1.467e-05,8.5
1.322,1.896,,1.459e-05,11.81
1.333,1.876,,1.451e-05,9
1.344,1.917,,1.443e-05,8.5
1.344,,2.017,,
1.354,1.911,,1.435e-05,10
1.365,1.883,,1.426e-05,7.906
1.376,1.898,,1.418e-05,10
1.387,1.871,,1.41e-05,9.812
1.397,1.898,,1.402e-05,9.062
1.397,,2.013,,
1.408,1.88,,1.394e-05,8.125
1.419,1.902,,1.385e-05,11.69
1.429,1.891,,1.377e-05,8.438
1.44,1.9,,1.369e-05,9.438
1.451,1.889,,1.361e-05,9.312
1.451,,2.01,,
1.462,1.906,,1.353e-05,8.438
1.472,1.888,,1.344e-05,7.844
1.483,1.886,,1.336e-05,11.75
1.494,1.858,,1.328e-05,8.25
1.505,1.917,,1.32e-05,7.375
1.505,,2.004,,
1.515,1.88,,1.312e-05,9.875
1.526,1.888,,1.304e-05,7.875
1.537,1.867,,1.295e-05,7.688
1.548,1.885,,1.287e-05,8.875
1.558,1.899,,1.279e-05,8
1.558,,1.998,,
1.569,1.886,,1.271e-05,8.188
1.58,1.901,,1.263e-05,9.312
1.591,1.913,,1.254e-05,9.688
1.601,1.874,,1.246e-05,8.312
1.612,1.903,,1.238e-05,10.31
1.612,,1.998,,
1.623,1.898,,1.23e-05,8.688
1.634,1.889,,1.222e-05,8.312
1.644,1.894,,1.213e-05,10
1.655,1.892,,1.205e-05,10.06
1.666,1.878,,1.197e-05,8.25
1.666,,1.993,,
1.677,1.894,,1.189e-05,8.375
1.687,1.894,,1.181e-05,9.875
1.698,1.868,,1.172e-05,9.75
1.709,1.883,,1.164e-05,7.125
1.72,1.908,,1.156e-05,8.375
1.72,,1.991,,
1.73,1.876,,1.148e-05,8.812
1.741,1.873,,1.14e-05,8.688
1.752,1.873,,1.131e-05,8.25
1.763,1.902,,1.123e-05,8
1.773,1.888,,1.115e-05,8.375
1.773,,1.987,,
1.784,1.906,,1.107e-05,7.656
1.795,1.868,,1.099e-05,7.594
1.806,1.886,,1.091e-05,8.25
1.816,1.904,,1.082e-05,8.75
1.827,1.891,,1.074e-05,9.875
1.827,,1.986,,
1.838,1.866,,1.066e-05,7.719
1.849,1.84,,1.058e-05,8.125
1.859,1.896,,1.05e-05,7.906
1.87,1.881,,1.041e-05,7.469
1.881,1.871,,1.033e-05,10.12
1.881,,1.984,,
1.892,1.882,,1.025e-05,9.25
1.902,1.882,,1.017e-05,7.656
1.913,1.909,,1.009e-05,8.812
1.924,1.856,,1e-05,9.125
1.935,1.874,,9.922e-06,10.12
1.935,,1.982,,
1.945,1.875,,9.84e-06,7.438
1.956,1.871,,9.758e-06,8.125
1.967,1.875,,9.676e-06,9.438
1.978,1.853,,9.594e-06,8.25
1.988,1.879,,9.512e-06,7.906
1.988,,1.98,,
1.999,1.897,,9.43e-06,13.38
2,,1.979,,
